SITE_COL;SITE;HAB;REEF;ARCH;UNIQUE_ID;RGR;AR_TOTAL_INICIAL;MEAN_AR_TOTAL;MEAN_HEALTH;MEAN_BLEACH;MEAN_DEAD_TISSUE;HEALTH_PC1;HEALTH_PC2;PC1_INTERACAO;PC2_INTERACAO;PC1_ENV_MAG;PC2_ENV_MAG;PC1_ENV_VAR;PC2_ENV_VAR;SST_MEAN;SST_CV_ALL;MEAN_DLI_LOCAL;CV_DLI_LOCAL;CHL_MEAN;CHL_CV_ALL;PROP_DHW_GT4;PROP_DHW_GT8;DEPTH;SST_PERIOD_PRIMARY;DLI_PERIOD_PRIMARY;CHL_PERIOD_PRIMARY;SST_PERIOD_SECONDARY;DLI_PERIOD_SECONDARY;CHL_PERIOD_SECONDARY
ARE_1;ARE;PA;UCR;inner;ARE_PA;-0,0574101373391873;36,23;34,989999999999995;91,07575375700316;6,708532241154221;2,2157140018426102;-2,141331556019529;0,1834165249755804;1,116428063070814;0,1911211802064952;-1,315738947768814;-0,0916482133241231;2,10219758428704;0,1791397315784958;25,72243690490723;4,871425151824951;15,57496139809377;47,32871494627133;1,202574491500854;73,19571685791016;0,0;0;8,8;365,0182196772514;363,1619339984651;363,1619339984651;33,21403759920844;14,764942449036196;14,764942449036196
ARE_2;ARE;PA;UCR;inner;ARE_PA;-0,0685734717072905;11,4;10,903;94,69023066395891;5,3097693360410885;2,764619883040936;-2,282305971515083;0,2489967684800447;1,116428063070814;0,1911211802064952;-1,315738947768814;-0,0916482133241231;2,10219758428704;0,1791397315784958;25,72243690490723;4,871425151824951;15,57496139809377;47,32871494627133;1,202574491500854;73,19571685791016;0,0;0;8,8;365,0182196772514;363,1619339984651;363,1619339984651;33,21403759920844;14,764942449036196;14,764942449036196
ARE_3;ARE;PA;UCR;inner;ARE_PA;-0,0866764434055971;13,32;12,656666666666666;66,08264494579551;33,391952328058274;0,5254027261462206;-0,5945747994636291;-0,5116716650965893;1,116428063070814;0,1911211802064952;-1,315738947768814;-0,0916482133241231;2,10219758428704;0,1791397315784958;25,72243690490723;4,871425151824951;15,57496139809377;47,32871494627133;1,202574491500854;73,19571685791016;0,0;0;8,8;365,0182196772514;363,1619339984651;363,1619339984651;33,21403759920844;14,764942449036196;14,764942449036196
ARE_4;ARE;TP;UCR;inner;ARE_TP;0,2079325777266261;8,577;10,525666666666666;23,242305988287104;74,90128375530264;1,8564102564102565;2,0332617859008515;-1,300799054471019;-0,4499847149766944;-1,6435436881417644;-1,138496823193966;0,7613153015524438;1,61321526129456;0,720708627752958;25,72243690490723;4,871425151824951;24,87623700537086;36,07504483339783;1,202574491500854;73,19571685791016;0,0;0;5,2;365,0182196772514;363,1619339984651;363,1619339984651;33,21403759920844;33,35003915426782;14,764942449036196
ARE_5;ARE;TP;UCR;inner;ARE_TP;0,0626335825033874;7,351;8,242333333333333;52,89191714090264;44,58839286337088;2,5196899957264822;0,205764951270763;-0,6038907636555658;-0,4499847149766944;-1,6435436881417644;-1,138496823193966;0,7613153015524438;1,61321526129456;0,720708627752958;25,72243690490723;4,871425151824951;24,87623700537086;36,07504483339783;1,202574491500854;73,19571685791016;0,0;0;5,2;365,0182196772514;363,1619339984651;363,1619339984651;33,21403759920844;33,35003915426782;14,764942449036196
FAR_1;FAR;RR;ARC;outer;FAR_RR;0,2465868416305154;5,098;7,223333333333334;62,14927731424154;36,705294670194256;1,1454280155642025;-0,3560604890456523;-0,5367591481454276;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
FAR_2;FAR;RR;ARC;outer;FAR_RR;-0,0018310248032571;19,15;20,23333333333333;46,8064436289303;31,81983017659905;26,63852370225881;0,6071410661321475;1,4391457837302608;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
FAR_3;FAR;RR;ARC;outer;FAR_RR;0,0749822215092561;8,857;8,784666666666666;18,648843826157933;26,36466695595948;54,98648921788259;2,0213186821416413;3,656165866516555;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
FAR_4;FAR;RR;ARC;outer;FAR_RR;0,4630343451053682;2,585;4,371333333333333;53,52218362972451;41,63941183774321;4,83840453253228;0,1541431577352645;-0,3697997564930778;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
FAR_5;FAR;RR;ARC;outer;FAR_RR;0,0346580649674466;10,31;10,786666666666669;78,62702171262107;16,639946613170782;4,733031674208145;-1,3895329240490517;0,156823221051771;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
FAR_6;FAR;RR;ARC;outer;FAR_RR;0,0365408813379497;17,41;18,31;51,8314736178368;38,01560147984946;10,152924902313744;0,2286846707546398;0,0997186252076432;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
FAR_7;FAR;RR;ARC;outer;FAR_RR;0,2895134304988401;4,701;6,376;24,969982432671305;69,0696701487873;5,960347418541403;1,9042401861058549;-0,8733912756204386;-1,5270841889647526;1,2280325433971766;-1,572550298816195;0,9534339716978832;0,3091102379789803;0,5076327011975332;25,71939086914062;4,638699531555176;26,52797287141231;24,43620081862119;0,7046629190444946;63,57395553588867;0,0;0;5,8;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,14839263317711;2,301427530561028
GUA_1;GUA;RR;ARC;outer;GUA_RR;0,1487935813853576;15,32;16,74;37,83041716199714;58,116994555830594;4,052588282172258;1,123737949982229;-0,7799997513956946;1,9260236847340644;-0,5791864304990568;-1,554555602224993;1,040032006394127;0,2906370406696929;0,5280925595710999;25,71939086914062;4,638699531555176;27,80144699694984;24,01104993141429;0,7046629190444946;63,57395553588867;0,0;0;5,4;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,114986483813546;2,301427530561028
GUA_2;GUA;RR;ARC;outer;GUA_RR;-0,0334295327390645;8,226;9,27;22,18256819976233;29,37744899469166;48,439982805546;1,8402376926244213;3,1088248247025416;1,9260236847340644;-0,5791864304990568;-1,554555602224993;1,040032006394127;0,2906370406696929;0,5280925595710999;25,71939086914062;4,638699531555176;27,80144699694984;24,01104993141429;0,7046629190444946;63,57395553588867;0,0;0;5,4;365,0182196772514;368,8594783962631;368,8594783962631;33,21403759920844;28,114986483813546;2,301427530561028
